date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2018-08-19,bitcoin,0.1,-0.009999999999999995,3100562761.1,-319096768.3499999,109323815.31,-9369708.920000002,2018-08-19,0.09,0.11,0.09
2018-08-23,bitcoin,0.09,0.0,2797856425.97,-155069788.6300001,70752219.34,16820561.1,2018-08-23,0.1,0.1,0.09
2018-08-27,bitcoin,0.09,0.0,2892182364.4,-52209150.27999973,30483200.13,-3780417.4300000034,2018-08-27,0.09,0.09,0.09
2018-08-31,bitcoin,0.1,-0.009999999999999995,3145985259.47,-138328434.5300002,74150720.91,-19916914.310000002,2018-08-31,0.1,0.11,0.1
2018-09-03,bitcoin,0.11,0.0,3285356397.46,-56821275.67000008,67143765.82,-12334577.5,2018-09-03,0.1,0.11,0.1
2018-09-07,bitcoin,0.09,0.0,2751886526.25,-2633836.5500001907,91513177.26,-13627547.569999993,2018-09-07,0.1,0.11,0.09
2018-09-11,bitcoin,0.07,-0.009999999999999995,2281645616.87,-95199218.51999998,51745441.94,-4914540.770000003,2018-09-11,0.08,0.08,0.07
2018-09-15,bitcoin,0.07,0.0,2124660084.59,-51874203.99000001,74151647.66,-24182131.97,2018-09-15,0.07,0.07,0.07
2018-09-19,bitcoin,0.07,0.010000000000000009,2155140506.73,174495559.75,83881538.29,26750577.53000001,2018-09-19,0.07,0.07,0.06
2018-09-23,bitcoin,0.08,-0.009999999999999995,2603147398.43,-132823052.63000011,95179373.26,-142578318.82999998,2018-09-23,0.07,0.09,0.07
2018-09-27,bitcoin,0.08,0.0,2465244036.75,-54282429.57000017,60636381.99,-46422200.68,2018-09-27,0.09,0.09,0.08
2018-09-30,bitcoin,0.08,0.0,2633828107.82,19068017.360000134,65434385.09,-38077381.33,2018-09-30,0.09,0.09,0.08
2018-10-03,bitcoin,0.08,0.0,2561902549.18,-72633083.39000034,38692069.57,-7315571.490000002,2018-10-03,0.09,0.09,0.08
2018-10-07,bitcoin,0.08,0.0,2535335484.84,-52665234.42999983,30796838.8,-6188249.040000003,2018-10-07,0.08,0.08,0.08
2018-10-11,bitcoin,0.08,-0.009999999999999995,2640954970.56,-47704863.05999994,42325366.82,-1810918.1000000015,2018-10-11,0.08,0.09,0.08
2018-10-15,bitcoin,0.07,0.0,2232538534.57,-62252168.50999975,31486256.07,3293430.6799999997,2018-10-15,0.07,0.07,0.07
2018-10-19,bitcoin,0.08,0.0,2358742832.43,-92169347.46000004,32405176.84,-10537061.73,2018-10-19,0.08,0.08,0.08
2018-10-23,bitcoin,0.08,0.0,2380966046.8,-477043.9699997902,22081790.78,2565335.920000002,2018-10-23,0.08,0.08,0.08
2018-10-27,bitcoin,0.07,0.0,2307973630.48,-4376465.53000021,30519539.38,4742686.459999997,2018-10-27,0.08,0.08,0.07
2018-10-31,bitcoin,0.07,0.0,2177662436.49,9581994.76999998,32346620.19,-14980442.02,2018-10-31,0.07,0.07,0.07
2018-11-03,bitcoin,0.07,0.0,2276564683.52,65731176.86000013,38683460.26,8707073.999999996,2018-11-03,0.07,0.07,0.07
2018-11-07,bitcoin,0.08,0.0,2513450132.05,140952153.06000042,100455935.22,19373888.989999995,2018-11-07,0.07,0.08,0.07
2018-11-11,bitcoin,0.08,0.009999999999999995,2338246519.25,14488017.260000229,18530875.48,-19007730.88,2018-11-11,0.08,0.08,0.07
2018-11-15,bitcoin,0.07,0.0,2039748182.58,-267839497.22000027,93846877.99,60507139.449999996,2018-11-15,0.08,0.08,0.07
2018-11-19,bitcoin,0.06,0.0,1931136308.42,28194733.55000019,26328644.04,-1619941.9700000025,2018-11-19,0.06,0.06,0.06
2018-11-23,bitcoin,0.04,-0.010000000000000002,1378016442.1,-119648599.70000005,35963524.46,-27489975.740000002,2018-11-23,0.05,0.05,0.04
2018-11-27,bitcoin,0.04,0.0,1128573226.54,-58379528.160000086,52775767.16,-12042326.190000005,2018-11-27,0.04,0.04,0.04
2018-11-30,bitcoin,0.04,0.0,1300488688.48,-9194689.650000095,68947905.07,-4469112.910000011,2018-11-30,0.04,0.04,0.04
2018-12-03,bitcoin,0.04,0.0,1289518010.3,-2549437.0,40133607.7,3215456.670000002,2018-12-03,0.04,0.04,0.04
2018-12-07,bitcoin,0.03,0.0,949289949.08,-124841905.76999986,38102028.72,-210772.6400000006,2018-12-07,0.04,0.04,0.03
2018-12-11,bitcoin,0.03,0.0,926561842.76,-48518697.110000014,24273563.31,-7396726.790000003,2018-12-11,0.03,0.03,0.03
2018-12-15,bitcoin,0.03,0.0,880783985.33,-23043144.139999986,17868475.67,-2354223.5199999996,2018-12-15,0.03,0.03,0.03
2018-12-19,bitcoin,0.03,0.0,1074756180.68,69877189.47000003,98129197.01,45154949.13,2018-12-19,0.03,0.03,0.03
2018-12-23,bitcoin,0.04,0.0,1293383283.2,34474152.83000016,66346799.15,-66808638.199999996,2018-12-23,0.03,0.04,0.03
2018-12-27,bitcoin,0.04,0.0,1259194587.02,-8121674.849999905,45342211.89,-28451897.11,2018-12-27,0.04,0.05,0.04
2018-12-31,bitcoin,0.04,0.0,1328117219.68,22373128.110000134,50126345.5,5810417.3500000015,2018-12-31,0.04,0.04,0.04
2019-01-03,bitcoin,0.04,0.0,1391808205.69,87954543.72000003,43321551.77,14896311.920000002,2019-01-03,0.04,0.04,0.04
2019-01-07,bitcoin,0.05,0.010000000000000002,1507173809.56,132961025.05999994,81335647.59,38041943.7,2019-01-07,0.04,0.05,0.04
2019-01-11,bitcoin,0.04,-0.010000000000000002,1364905851.89,-232815929.97999978,125760658.32,40914992.72,2019-01-11,0.05,0.05,0.04
2019-01-15,bitcoin,0.04,0.0,1349921731.88,121312693.91000009,46991904.8,10068526.93,2019-01-15,0.04,0.04,0.04
2019-01-19,bitcoin,0.04,0.0,1360373389.28,-30969952.319999933,36466188.48,-23713424.620000005,2019-01-19,0.04,0.04,0.04
2019-01-23,bitcoin,0.04,0.0,1344851595.9,21005287.06000018,37271610.77,5868360.660000004,2019-01-23,0.05,0.05,0.04
2019-01-27,bitcoin,0.04,0.0,1319310449.0,905259.5299999714,23459405.91,466031.75,2019-01-27,0.04,0.04,0.04
2019-01-31,bitcoin,0.04,0.0,1226333484.65,44873857.20000005,37062014.8,4523177.839999996,2019-01-31,0.04,0.04,0.04
2019-02-03,bitcoin,0.04,0.0,1207406299.98,3386469.7999999523,21458195.78,-9994451.27,2019-02-03,0.04,0.04,0.04
2019-02-07,bitcoin,0.04,0.0,1142636303.32,-38478676.33000016,28173078.13,6867321.719999999,2019-02-07,0.04,0.04,0.04
2019-02-11,bitcoin,0.04,0.0,1328605791.94,47528097.85000014,37213644.13,2650650.0200000033,2019-02-11,0.04,0.04,0.04
2019-02-15,bitcoin,0.04,0.0,1257061956.9,-19978069.169999838,22479338.92,-2252508.829999998,2019-02-15,0.04,0.04,0.04
2019-02-19,bitcoin,0.05,0.010000000000000002,1411237248.64,115809390.25,57438978.34,30156474.310000002,2019-02-19,0.04,0.05,0.04
2019-02-23,bitcoin,0.05,0.010000000000000002,1429215107.79,34453386.88999987,32119107.48,-10835192.02,2019-02-23,0.05,0.05,0.04
2019-02-27,bitcoin,0.04,0.0,1333499545.23,-20345714.420000076,33331022.66,-13875320.940000001,2019-02-27,0.05,0.05,0.04
2019-02-28,bitcoin,0.04,0.0,1340877352.44,7377807.210000038,32087203.18,-1243819.4800000004,2019-02-28,0.04,0.04,0.04
2019-03-07,bitcoin,0.04,0.0,1321151583.61,-9611366.24000001,33522072.28,-4438011.979999997,2019-03-07,0.04,0.04,0.04
2019-03-11,bitcoin,0.05,0.0,1415911776.52,-35446435.410000086,51354294.79,-35639405.690000005,2019-03-11,0.04,0.05,0.04
