date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2020-06-30,bitcoin,1.0,0.0,9628668055.15,-5716819.729999542,18799274674.86,929146463.8500023,2020-06-30,1.0,1.0,1.0
2020-07-03,bitcoin,1.0,0.0,9647929508.44,8824627.270000458,17977098574.31,-572975604.5599976,2020-07-03,1.0,1.0,1.0
2020-07-07,bitcoin,1.0,0.0,9712908096.06,4096942.989999771,25444931938.95,8877449361.27,2020-07-07,1.0,1.0,1.0
2020-07-11,bitcoin,1.0,0.0,9803667486.87,19798214.040000916,17302019437.36,-2954530500.279999,2020-07-11,1.0,1.0,1.0
2020-07-15,bitcoin,1.0,0.0,9845335826.77,-3024039.109998703,18335355881.55,-1333186875.1100006,2020-07-15,1.0,1.0,1.0
2020-07-19,bitcoin,1.0,0.0,9884364193.47,3956336.349998474,14258134177.94,-962811616.9200001,2020-07-19,1.0,1.0,1.0
2020-07-23,bitcoin,1.0,0.0,10016213022.28,94554182.30000114,18165018452.38,-1432874708.0499992,2020-07-23,1.0,1.0,1.0
2020-07-27,bitcoin,1.0,0.0,10216671823.88,3490909.6999988556,26864814368.89,3610103187.489998,2020-07-27,1.0,1.0,1.0
2020-07-31,bitcoin,1.0,0.0,10707864336.47,90008842.9299984,28117378154.96,-304794888.75,2020-07-31,0.99,1.0,0.99
2020-08-03,bitcoin,1.0,0.0,11062349221.83,121099703.28999901,40139374760.17,5035517149.0,2020-08-03,1.0,1.0,1.0
2020-08-07,bitcoin,1.0,0.0,11334228793.94,81299217.73999977,27830621831.8,325713959.5400009,2020-08-07,1.0,1.0,1.0
2020-08-11,bitcoin,1.0,0.0,11698790361.51,48472459.569999695,34055074962.86,7302539499.84,2020-08-11,1.0,1.0,1.0
2020-08-15,bitcoin,1.0,0.0,12238797982.62,238155753.27000046,33091182634.21,-5160193610.730003,2020-08-15,1.0,1.0,1.0
2020-08-19,bitcoin,1.0,0.0,12603054668.45,210472398.27000046,38397719107.35,942635477.6500015,2020-08-19,1.0,1.0,1.0
2020-08-23,bitcoin,1.0,0.0,12812234222.11,49677068.540000916,33313211681.41,-6427798573.619999,2020-08-23,1.0,1.0,1.0
2020-08-27,bitcoin,1.0,0.0,12858452038.93,-7055354.659999847,34806112585.19,-2941641487.3899994,2020-08-27,1.0,1.0,1.0
2020-08-31,bitcoin,1.0,0.0,13324009301.44,21912013.560001373,34995843752.22,3139365262.050003,2020-08-31,1.0,1.0,1.0
2020-09-03,bitcoin,1.0,0.0,13625399575.19,182685311.63000107,43203111185.57,-35640578.05999756,2020-09-03,1.0,1.0,1.0
2020-09-07,bitcoin,1.0,0.0,14156780887.94,9885648.950000763,47558729226.99,-5535514876.07,2020-09-07,0.99,1.0,0.99
