date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2015-09-27,bitcoin,232.83,-1.6999999999999886,3413577894.96,-23956167.309999943,75776526.64,-17830904.810000002,233.93,234.98,232.83
2015-09-30,bitcoin,236.05,-1.1799999999999784,3463401139.07,-16446266.109999657,76056339.96,-39104130.86,239.28,239.28,236.05
2015-10-03,bitcoin,238.97,1.710000000000008,3508906579.53,25987507.390000343,73353042.37,-11095706.72999999,237.74,238.97,237.26
2015-10-07,bitcoin,243.22,-3.219999999999999,3574397657.83,-47004505.67000008,121587412.76,-14189267.019999996,238.66,246.44,238.66
2015-10-11,bitcoin,247.54,2.219999999999999,3640379548.48,32622929.829999924,79268221.72,-9896847.980000004,242.9,247.54,242.9
2015-10-15,bitcoin,254.63,1.9300000000000068,3749948525.35,29662823.909999847,207297257.62,-114567908.29000002,245.57,254.63,245.57
2015-10-19,bitcoin,264.21,1.9799999999999613,3894955159.09,30182433.26999998,224715633.91,108003206.85,262.37,270.36,262.23
2015-10-23,bitcoin,277.39,3.819999999999993,4093191773.37,57319769.51999998,130573069.75,-98461855.93,270.27,277.39,267.02
2015-10-27,bitcoin,294.81,9.29000000000002,4354732830.69,138847878.67999935,329397533.94,107813594.68,282.96,294.81,282.96
2015-10-31,bitcoin,312.28,-13.520000000000039,4617510889.91,-198758654.81000042,321997491.8,-521343501.42,303.64,325.8,303.64
2015-11-03,bitcoin,398.24,47.47000000000003,5893149469.89,703925713.4700003,987283928.32,350593699.31000006,325.0,398.24,325.0
2015-11-07,bitcoin,387.06,14.230000000000018,5733490750.5,212235951.3000002,462741972.47,-307500882.01,404.36,404.36,372.83
2015-11-11,bitcoin,305.98,-30.889999999999986,4537161821.45,-456618265.07000065,572707252.53,-47766083.84000003,371.5,380.64,305.98
2015-11-15,bitcoin,320.48,-11.019999999999982,4757160338.7,-162231626.0500002,237800138.66,106664943.02,337.96,337.96,320.48
2015-11-19,bitcoin,325.57,-9.879999999999995,4837533520.0,-145732933.1999998,206391901.27,20410237.98000002,331.35,335.45,325.57
2015-11-23,bitcoin,322.83,-0.5600000000000023,4802404204.0,-7045387.25,188739479.44,21686474.03999999,321.42,325.16,321.42
2015-11-27,bitcoin,359.01,2.759999999999991,5346023825.73,42301702.47999954,895711315.71,-341839491.94000006,319.98,359.01,319.98
2015-11-30,bitcoin,378.26,6.769999999999982,5637217098.62,102528833.0199995,1299027009.49,377099377.33000004,356.21,378.27,356.21
2015-12-03,bitcoin,360.95,2.1299999999999955,5383466480.7,33092490.19999981,1149814390.14,-3853981.8199999332,363.45,363.45,358.82
2015-12-07,bitcoin,394.36,0.35000000000002274,5887868033.12,6584039.420000076,1282263557.4,-230363052.32999992,362.77,394.36,362.77
2015-12-11,bitcoin,452.41,35.5,6762812523.75,532405256.25,1623480958.45,347643885.01,412.93,452.41,412.93
2015-12-15,bitcoin,465.0,21.720000000000027,6958907659.57,327129117.9699993,1555251795.36,58094471.41999984,434.9,465.0,434.9
2015-12-19,bitcoin,462.05,-1.7699999999999818,6922223916.85,-24684581.75,556941126.99,-578285607.01,453.91,463.82,453.91
2015-12-23,bitcoin,442.82,6.579999999999984,6640942254.9,100430007.96999931,955949147.61,-340453434.65,441.13,442.82,436.24
2015-12-27,bitcoin,423.93,6.840000000000032,6364767557.5,104758857.10000038,1378749291.49,-346320214.5,454.91,455.74,417.09
2015-12-31,bitcoin,431.14,4.329999999999984,6479728151.18,66519416.56000042,1310033274.61,82385108.56999993,420.71,432.15,420.71
2016-01-03,bitcoin,430.2,-4.1299999999999955,6470199429.9,-60489178.35000038,984185979.65,214316912.04999995,434.43,434.43,430.2
2016-01-07,bitcoin,456.43,25.090000000000032,6870164692.05,377665341.07000065,1637948558.26,804606688.98,433.53,456.43,431.34
2016-01-11,bitcoin,448.35,1.1400000000000432,6757695467.6,19090950.200000763,1182725805.93,-178373284.01,454.7,454.7,447.21
2016-01-15,bitcoin,365.91,-63.329999999999984,5519407460.2,-955175909.9700003,1576734613.7,310438984.24,445.79,445.79,365.91
2016-01-19,bitcoin,379.01,-6.1200000000000045,5723770825.5,-91038765.19999981,1157108220.85,-200587837.97000003,384.81,386.36,379.02
2016-01-23,bitcoin,389.64,12.430000000000007,5889248376.55,188351053.3000002,755378842.13,-871474953.83,418.85,418.85,377.21
2016-01-27,bitcoin,394.49,2.0300000000000296,5968224752.18,30787362.380000114,1023661369.62,-207691387.86,403.06,403.06,392.33
2016-01-31,bitcoin,364.35,-12.569999999999993,5520342696.0,-188710076.5500002,795209372.71,-131558031.63999999,379.55,379.55,364.35
2016-02-03,bitcoin,368.12,-4.75,5582278351.5,-70251381.30000019,701511710.56,32019709.829999924,371.04,372.87,368.12
2016-02-07,bitcoin,375.52,0.6200000000000045,5701239912.88,10988058.630000114,551083226.54,-428494799.46000004,388.38,388.38,374.9
2016-02-11,bitcoin,377.06,-2.769999999999982,5730998806.5,-40369908.35000038,503979335.12,-310111552.59000003,371.14,379.83,371.14
2016-02-15,bitcoin,399.38,-4.759999999999991,6076721221.07,-70965752.9300003,1388195099.85,69180027.27999997,382.72,404.14,382.72
2016-02-19,bitcoin,419.38,-2.0400000000000205,6387331882.93,-29713588.819999695,601898504.28,-843326374.24,407.01,421.42,407.01
2016-02-23,bitcoin,420.3,-17.5,6407178255.95,-265300651.52000046,1465084346.96,298376005.53999996,441.12,441.12,420.3
